,House Number,Rawalpindi Houses,Name,Price,Type,Main Features,Rooms,Details
78,House 52075684,Lahore Houses,Prime Location 5 Marla House For Grabs In Central Park Housing Scheme,"Central Park - Block E, Central Park Housing Scheme, Lahore, Punjab","Given the prime location of Central Park - Block E, you will be placed in an ideally placed in a happening neighborhood. Lahore is well connected through roads. So, wherever you live, places will always be highly accessible. A similar property for this Rs. 15500000 could be difficult to find elsewhere. We have got just the right property for you. So, stop whatever you're doing and grab your share as soon as possible. The House being offered might just be the right pick for you. The latest construction projects of 5 Marla properties is open for booking, so make a move before it is too late. Details of the property are mentioned below. This neat drawing room space in this House is all you will need to host your friends and family. A separate study room makes this property quite feasible for families with school-going children. The community swimming pool in the building/society proves to be great during summers. Mealtime with families or entertaining guests, the house's large dining room solves all problems. The House is surrounded by mosques at walking distance where you can conveniently offer prayers. You can pray comfortably in the prayer room that is part of the house and designed particularly for the purpose. You can use the powder room of the property as an additional bathroom. Property and investment advice is only a call away, so what are you waiting for!",Built in year: 2024 | Parking Spaces: 1 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 3, Bathrooms: 4, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR1.6 Crore, Location: Central Park Housing Scheme, Lahore, Punjab, Bath(s): 4, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 3 hours ago"
79,House 52061327,Lahore Houses,10 Marla House Available For Sale In Sector C Bahria Town Lahore,"Bahria Town - Sector C, Bahria Town, Lahore, Punjab","Golden Gate Properties Real Estate  The Town offer a life style to the facilities in the same location, Easy approach from all sides of the city makes the phase appealing as one can easily approach any part of Lahore city. Near to MasjidShopping MallsBranded StoreFood CourtThe House boasts excellent design and also features facilities that guarantee a comfortable, convenient lifestyle. GOLDEN GATE Real Estate will provide initial advice for free and the enquiry will be handled by one of our fully qualified Consultant or Director. We have built an enviable reputation for selling a varied portfolio of properties. NOTE= Options Available (5 Marla, 10 Marla, 1 Kanal, 2 Kanal) In Low Budget. Reasonable Rent & Sale From MarketPLEASE CONTACT US TO BOOK AN APPOINTMENT FOR VIEWING",Built in year: 2025 | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 5, Bathrooms: 6, Servant Quarters, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR2.8 Crore, Location: Bahria Town, Lahore, Punjab, Bath(s): 6, Area: 10 Marla, Purpose: For Sale, Bedroom(s): 5, Added: 3 hours ago"
80,House 50698605,Lahore Houses,10 Marla (Lda Approved) Wapda + Gas,"Park View City, Lahore, Punjab",Real Pictures AttachedCall / WhatsApp To get More Details Of House I have more then 50 Houses. For your Budget please CALL / Whats Up to discuss With you,Built in year: 2000 | Parking Spaces: 3 | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features | Furnished,"Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 2, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR3.3 Crore, Location: Park View City, Lahore, Punjab, Bath(s): 6, Area: 10 Marla, Purpose: For Sale, Bedroom(s): 5, Added: 3 hours ago"
81,Flat 52079322,,Book 2 Bed Luxury Apartment In Just 19 Lakh On Installment Plan In Sector E Downtown Holdings Bahria Town,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab","UN PROPERTIES Real Estate And Builders Is At Zameen. Com Offers Wide Range Of Properties In Approved Housing Schemes From All Over The Pakistan. we Are Offering You Secure Investment Opportunities In Lda Approved Housing Societies And Projects According Your Return On Investment Needs. we Have Professional Realtors Team Who Are Committed To Provide Excellent Real Estate Services And Consultancy In Approved Housing Societies Across Pakistan. for Investment, Selling And Buying Of Residential And Commercial Plots In Bahria Town Lahore. always Contact Our Professional Realtors Team. 24/7 highly security 24/7 electricity backupyesavailable. . .",Parking Spaces | Flooring | Electricity Backup | Waste Disposal | Elevators | Service Elevators in Building,"Bedrooms: 2, Bathrooms: 2, Kitchens","Type: Flat, Price: PKR97 Lakh, Location: Bahria Town, Lahore, Punjab, Bath(s): 2, Area: 3.1 Marla, Purpose: For Sale, Bedroom(s): 2, Added: 3 hours ago"
82,House 51985741,Lahore Houses,House Is Available For Sale In Jubilee Town - Block C,"Jubilee Town - Block C, Jubilee Town, Lahore, Punjab",Near to parkNear to MasjidNear to commercial areaNear to HospitalElectricity. AvailableSevrage. AvailableWater supply. Available,Double Glazed Windows,"Bedrooms: 3, Bathrooms: 4, Drawing Room, Dining Room, Kitchens: 1, Powder Room, Store Rooms: 1","Type: House, Price: PKR1.3 Crore, Location: Jubilee Town, Lahore, Punjab, Bath(s): 4, Area: 3 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 3 hours ago"
83,House 52020098,Lahore Houses,5 MARLA BRAND NEW HOME FOR SALE IN  DREAM GARDENS  PHASE 2 LAHORE.,"Dream Gardens Phase 2, Dream Gardens, Defence Road, Lahore, Punjab",SHAH BUILDERS OFFERS 5 MARLA BRAND NEW HOME FOR SALE IN DREAM GARDENS PHASE 2 LAHORE. LDA APPROVED SOCIETYGATED COMMUNITYCARPETED ROADS (35 TO 150WIDE)24 HOURS SECURITYGAMUSEMENT PARKSCENTRAL MASJIDSPORTS COMPLEXCOMMERCIAL COMPLEXPARK TURK SCHOOLBAHRIA UNIVERSITYUNDERGROUND ELECTRIFICATIONCOMMUNITY CENTER,Built in year: 2024 | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Floors: 3 | Other Main Features,"Bedrooms: 4, Bathrooms: 5, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Store Rooms: 1","Type: House, Price: PKR2.3 Crore, Location: Defence Road, Lahore, Punjab, Bath(s): 5, Area: 5 Marla, Purpose: For Sale, Bedroom(s): 4, Added: 3 hours ago"
84,House 52027463,Lahore Houses,2 Kanal Fully Furnished Luxury House,"Central Park Housing Scheme, Lahore, Punjab",Central Park Housing Scheme 2 Kanal Fully Furnished Luxury House Available For Sale Good Location House Near By Masjid Park McDonald'S And Food Street,Built in year: 7,"Bedrooms: 7, Bathrooms: 8, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Prayer Room, Powder Room","Type: House, Price: PKR10 Crore, Location: Central Park Housing Scheme, Lahore, Punjab, Bath(s): 6, Area: 2 Kanal, Purpose: For Sale, Bedroom(s): 7, Added: 4 hours ago"
85,Flat 52116384,,Affordable With Luxury Studio Apartment In Grand 14 The Oasis Facing Eiffel Tower Prime Location With Theme Park And Imtiaz Superstore,"Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","Book Your Studio Luxury Apartment for Just 22.40 PKR Lac at The Oasis Grand 14, Downtown Commercial (DHA Raya Conncept) Bahria Town LahoreStep into modern living with this stylish Studio apartment located in The Oasis Grand 14, Bahria Town, Lahore. This apartment is ideal for singles, couples, or small families seeking a comfortable and contemporary home in a prime location. Property Features:Cozy Living Space: An inviting living and dining area, perfect for relaxation and entertaining guests in a comfortable, open setting. Studio Spacious Bedroom: A well-designed bedroom with ample closet space, an en-suite bathroom, and large windows that bring in natural light. Modern Kitchen: A sleek, fully-equipped kitchen with high-quality countertops, cabinets, and modern appliances, ideal for easy meal preparation. Private Balcony: Enjoy scenic views of Bahria Town from your private balcony, providing a peaceful outdoor retreat. High-Quality Finishes: Elegant interiors with contemporary fixtures, premium flooring, and stylish design throughout the apartment. Building Amenities: Access to premium amenities including a swimming pool, fitness center, secure parking, and 24/7 security for a safe and hassle-free living experience. Situated in the prestigious Bahria Town community, The Oasis Grand offers easy access to nearby shopping malls, restaurants, schools, and recreational facilities. This apartment is the perfect choice for those looking for a blend of luxury and convenience.",Parking Spaces | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor: 4 | Floors in Building: 11 | Elevators | Other Main Features | Furnished,"Bedrooms: 1, Bathrooms: 1, Kitchens: 1, Other Rooms","Type: Flat, Price: PKR56 Lakh, Initial Amount: PKR22.4 Lakh, Monthly Installment: PKR1.12 Lakh, Remaining Installments: 30 Months, Location: Bahria Town, Lahore, Punjab, Bath(s): 1, Area: 1.6 Marla, Purpose: For Sale, Bedroom(s): -, Added: 19 minutes ago"
86,House 48361226,Lahore Houses,23 Marla Corner Super Luxury Modern Bungalow Near Defence Raya,"DHA Phase 6, DHA Defence, Lahore, Punjab","KHALIFA REAL ESTATE Give You An Amazing Opportunity To Get Your Own House In One The Best Site In Lahore DHA. This House Is Fully Complete Also Have Amazing Stylish That Design That You Been Imagine,And Also House Located Nearby Park And Mosque. Here Are Some Amazing Feature That You Would You Like About This House* 5 Bed Rooms With Beautiful Design (Attached With Baths)* 6 Bath Rooms (Completed With Imported Tiles)* LOCATED AT VERY GOOD SITE IN DHA * Solid Steel Work Used For Outside Main Gate. *Complete Marble/Tiled/Wooden Flooring. *Wash Rooms Are Completely Covered By Spanish Italian Tiles. * All The Construction Is Done In The Supervision Of Best Architecture. * Planters All Around In the Lawn. * Beautiful Lawn with Complete Variety Of Planters. * Side Streets Are Proper Covered With Tiles* Imported Kitchen With Practical Implementation Of All Appliances. * Solid Aluminum Work Used In Cabinets* Lights (LED) Provision in All Cabinets of Kitchen & All House. * Complete Imported Appliances Installed In Kitchen Including Fridge/Cooking Hob/Microwave/LED/Dish Washer* Dirty Kitchen/Main Kitchen Fitted By Company. * Spacious Dirty Kitchen* Fall Ceiling Done All Over Including Bed Rooms/Drawing/Dinning/TV Lounge/Kitchen And Lobby* Protection Sheets Installed While Building The Upper Portion To Keep Both Portions Cool In Summer* Double Glace Windows For Sound Proofing* Also Have Family Campy And BBQ Spot*Solid Stairs Built With Steel Frame Work And Granite Used In Outer*Main Beauty Of The House Is The Patio. Located In The Mid Of House That Gives A Evergreen Fresh Feeling From AllThe Rooms And TV Lounge. * NEAR BY MAIN PARK- HOSPITAL- AND MAIN MARKET* LOCATED AT VERY PEACFUL PLACE* Also 2 Servant Quarter Available With Attached Baths with Kitchen (Located In Basement).",Built in year: 2023 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 3 | Other Main Features | Furnished,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR7.85 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 6, Area: 1.2 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 29 minutes ago"
87,House 51973053,Lahore Houses,Brand New Open View Luxury 5 Bedrooms Birgadier House Available In New Sector S Askari 10 Lahore,"Askari 10, Askari, Lahore, Punjab",brand new open view luxury 5 bedrooms 5 baths 1 powder room 1 drawing room dining and 2 t. v lounge 1 kitchen 1 store room 1 servant quarter big terrace 2 cars parking space near to park mosque market jalal sons carefore KFC MCDONALD,Built in year: 2024 | Parking Spaces: 2 | Double Glazed Windows | Flooring | Electricity Backup | Waste Disposal | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Powder Room, Gym, Store Rooms: 1, Lounge or Sitting Room, Laundry Room","Type: House, Price: PKR7.95 Crore, Location: Askari, Lahore, Punjab, Bath(s): 6, Area: 15 Marla, Purpose: For Sale, Bedroom(s): 5, Added: 1 hour ago"
88,House 52116064,Lahore Houses,"3 Marla Designer House For Sale In Al-Kabir Town Phase 2, Lahore","Al-Kabir Phase 2 - Block E, Al-Kabir Town - Phase 2, Al-Kabir Town, Raiwind Road, Lahore, Punjab","3 Marla Designer House for Sale in Al-Kabir Town Phase 2, LahoreLocation:E Block, Al-Kabir Town Phase 2, LahoreProperty Overview:Presenting a meticulously designed 3 Marla house with premium A+ construction, featuring modern architecture and high-quality finishes. This property is ideal for families seeking a contemporary and comfortable living experience. Interior Highlights:Interwood design doors and premium hardwareConcealed exhaust systems and floor drainsSliding UV wardrobesAlco Aluminum 1.6mm windowsWellmax-equipped modular kitchenKey Features:3 spacious bedrooms with attached bathroomsPowder room for guests5-year sanitary guarantee for peace of mindTermite-treated construction for durabilityServant room with an attached bathCommunity Amenities:24/7 security system ensuring safetyWater filtration plant for clean drinking waterWell-maintained roads with streetlightsGreen parks, zoo, and recreational areasMosque within the communityUninterrupted electricity supplyNearby commercial areas for shopping and diningAccess to international-standard hospital and education facilitiesLocation Advantages:3 minutes from Ada Plot3 minutes from Lahore Ring Road20 minutes from Thokar Niaz Baig30 minutes from Allama Iqbal International AirportWhy Choose This Property?This house offers a unique blend of modern living, prime location, and a vibrant community lifestyle. It is an excellent opportunity for those looking to invest in a growing and secure neighborhood with rising property values. Contact Us:For further details or to schedule a visit, please contact Galaxy Traders.",Built in year: 2025 | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Other Main Features | Furnished,"Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR99 Lakh, Location: Raiwind Road, Lahore, Punjab, Bath(s): 4, Area: 3 Marla, Purpose: For Sale, Bedroom(s): 3, Added: 1 hour ago"
89,Flat 48944444,,Gulberg 18 By Luxury Apartments Specialist For Sale In Gulberg - Experience Opulent Living With Premium Amenities,"Tower 18, Gulberg 3 - Block K, Gulberg 3, Gulberg, Lahore, Punjab","Gulberg 18 Luxury Apartments Specialist For Sale In Gulberg - Experience Opulent Living With Premium Amenities - Contact Now!Description:Explore The Epitome Of Luxury Living With Our Exclusive Range Of Apartments For Sale In The Prime Location Of Gulberg. Offering 1-Bed, 2-Bed, And 3-Bed Options, Each Apartment Is Meticulously Designed To Provide Unparalleled Comfort, Style, And Convenience. Key Features:Prime Location: Situated In The Prestigious Gulberg Area, Our Apartments Offer Easy Access To Upscale Amenities, Dining, Shopping, And Entertainment Options, Ensuring A Lifestyle Of Utmost Convenience And Luxury. Premium Amenities: Immerse Yourself In Luxury With A Range Of Amenities Including A BBQ Rooftop Area, Gated Community For Added Security, Fitness Center For A Healthy Lifestyle, Kids Play Area For Family Fun, 24x7 CCTV Surveillance For Peace Of Mind, And A Spacious Lobby For A Grand Entrance. Thoughtful Design: Each Apartment Is Thoughtfully Designed To Maximize Space And Natural Light, Creating A Warm And Inviting Ambiance. Enjoy Modern Finishes, High-End Fixtures, And Contemporary Aesthetics Throughout. Luxury Living: Experience The Ultimate In Luxury Living With Our Meticulously Crafted Apartments, Where Every Detail Is Designed To Enhance Your Comfort And Elevate Your Lifestyle.",Built in year: 2023 | Parking Spaces | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor: 3 | Floors in Building: 10 | Elevators: 2 | Service Elevators in Building | Other Main Features | Furnished,"Bedrooms: 4, Bathrooms: 1, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: Flat, Price: PKR2.4 Crore, Location: Gulberg, Lahore, Punjab, Bath(s): 1, Area: 4.4 Marla, Purpose: For Sale, Bedroom(s): 1, Added: 1 hour ago"
90,Flat 48910121,,2 Bed Luxury Apartment Lavish Life Style,"Zafar Ali Road, Gulberg, Lahore, Punjab","2 Bed Lavish Apartment For Sale In Zafar AliRoad2 Bed Apartment For Sale In Zafar Ali RoadStarted with 30% down payment hot locationnear to Gulberg, MM Allam Road luxury apartmentsfirst 10 people will get furnished apartments in this priceso hurry up come and get this offer this offer is limited contact us for more",Built in year: 2023 | Parking Spaces: 2 | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor: 3 | Floors in Building: 9 | Service Elevators in Building | Furnished,"Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room","Type: Flat, Price: PKR3 Crore, Location: Gulberg, Lahore, Punjab, Bath(s): 2, Area: 4.4 Marla, Purpose: For Sale, Bedroom(s): 2, Added: 1 hour ago"
91,Flat 48213732,,Luxurious 2 Bedroom Residential Apartment For Sale In Gulberg Executive Living At Its Finest,"Gulberg 3, Gulberg, Lahore, Punjab","Certainly! Here's a detailed description for the luxurious residential apartment for sale in Gulberg offered by Executive Real Estate:Title: Luxurious 2-Bedroom Residential Apartment for Sale in Gulberg - Executive Living at Its FinestDescription:Executive Real Estate is delighted to present an exquisite residential offering in the heart of Gulberg, showcasing a luxurious 2-bedroom apartment spanning an impressive 900 square feet. This meticulously designed living space embodies sophistication, comfort, and contemporary living, ideal for those seeking an upscale urban lifestyle. Key Features:Prime Location: Nestled in the prestigious area of Gulberg, this apartment enjoys the benefits of a prime location, offering easy access to shopping centers, restaurants, schools, and major transportation hubs, providing the utmost convenience for its residents. Luxury Living Space: With a covered area of 900 square feet, this apartment boasts a thoughtfully designed layout that maximizes space and functionality, providing an elegant and comfortable living environment. Two Bedrooms: Featuring two well-appointed bedrooms, each designed to offer privacy and comfort, providing ample space for relaxation and personal retreat. Modern Amenities: This apartment is equipped with modern amenities and high-quality fixtures, including contemporary kitchen fittings, stylish bathrooms, and possibly additional features such as built-in wardrobes, air conditioning, and more, ensuring a luxurious living experience. Scenic Views: Depending on the location within the building, residents enjoy scenic views of the surrounding cityscape, adding to the allure and ambiance of the apartment. Pricing Details:Price: 2 Crore 16 Lacs Pakistani Rupees",Built in year: 2023 | Parking Spaces | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor: 1 | Floors in Building | Elevators | Service Elevators in Building | Other Main Features | Furnished,"Bedrooms: 2, Bathrooms: 2, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 4, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: Flat, Price: PKR2.16 Crore, Location: Gulberg, Lahore, Punjab, Bath(s): 2, Area: 4 Marla, Purpose: For Sale, Bedroom(s): 2, Added: 1 hour ago"
92,House 52087326,Lahore Houses,20 Marla Double Storey House For Sale Prime Location NFC Phase 1.,"NFC 1, Lahore, Punjab","20 Marla Double Storey House For Sale Prime Location NFC Phase 1. This Elegant And Spacious 20 Marla Double Storey House Is Now Available For Sale In A Highly Sought-After Area. The Property Boasts High-Quality Construction And A Well-Designed Layout. Features:Location: 402-D NFC Phase 1, LahoreDemand: PKR 7 CroreStructure: Double StoreyGround Floor: 2 Bedrooms With Attached BathroomsFirst Floor: 3 Bedrooms With Attached BathroomsStylish Kitchens On Each FloorSpacious Drawing And Dining RoomsAmple Car Parking SpaceBeautifully Designed Interiors And ExteriorsThis Property Is Perfect For Families Looking For A Modern And Comfortable Living Space. Don't Miss This Opportunity To Own A Dream Home In A Prestigious Neighborhood. Contact Us Today To Schedule A Visit! Call Now or Visit Us For More Information !!!HARIS REAL ESTATE & BUILDERS View Contact Detail  Location: Plot no. 10, Block L, Johar Town Near Emporium Mall, Lahore harisrealestate. com#harisrealestateandbuilders #johartown #20marlahouseforsale #nfc #doublestoryhouse #propertyinlahore #phase1",Built in year | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Floors | Other Main Features,"Bedrooms, Bathrooms, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Store Rooms, Other Rooms","Type: House, Price: PKR7 Crore, Location: NFC 1, Lahore, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 18 minutes ago"
93,House 52090330,Lahore Houses,"12 Marla House For Sale In Johar Town Prime Location, High Demand PKR 52,500,000","Johar Town, Lahore, Punjab","12 Marla House For Sale In Johar Town Prime Location, High Demand PKR 52,500,000This Exquisite 12 Marla House In The Highly Sought-After Johar Town Offers A Luxurious Living Experience With Modern Amenities And A Prime Location. Priced At PKR 52,500,000, This Beautifully Designed Home Is Perfect For Those Seeking Comfort, Style, And Convenience In One Of Lahores Most Desirable Neighborhoods. Key Features:Size: 12 MarlaPrice: PKR 52,500,000Location: Johar Town, LahoreSpacious Rooms: 4 Bedrooms, 5 BathroomsElegant Interiors: Contemporary Design With High-Quality FinishesModern Kitchen: Fully Equipped With State-Of-The-Art AppliancesLiving Area: Expansive Lounge With A Cozy AmbianceParking: Ample Parking Space For Multiple VehiclesTerrace/Garden: Ideal For Outdoor Gatherings Or RelaxationNearby Amenities: Close To Schools, Hospitals, Shopping Malls, And Public TransportJohar Town Is Renowned For Its Exceptional Infrastructure, Secure Environment, And Proximity To Key Landmarks. Whether You Are Looking For A Family Home Or A Sound Investment, This House Is A Perfect Choice. For More Details  Call Now or Visit Us For More Information !!!HARIS REAL ESTATE & BUILDERS View Contact Detail  Location: Plot no. 10, Block L, Johar Town Near Emporium Mall, Lahore harisrealestate. com#harisrealestate#JoharTown #12MarlaHouse #LuxuryHomes #PropertyForSale",Built in year | Parking Spaces | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Floors | Other Main Features,"Bedrooms, Bathrooms, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Store Rooms, Other Rooms","Type: House, Price: PKR5.25 Crore, Location: Johar Town, Lahore, Punjab, Bath(s): 7, Area: 12 Marla, Purpose: For Sale, Bedroom(s): 6, Added: 18 minutes ago"
94,House 49287520,Lahore Houses,1 Kanal Well Maintained House is available for Sale in DHA Phase 1 Block K Lahore,"DHA Phase 1 - Block K, DHA Phase 1, DHA Defence, Lahore, Punjab",Features:5 Master Bedrooms with attached bathroomsDrawing RoomDining RoomKitchenStoreServant Quarter in BasementAmple Car ParkingLush Green LawnFor further detail call right now. Munir Gill,Built in year: 2010 | Parking Spaces: 2 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Type: House, Price: PKR6.5 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 22 minutes ago"
95,House 52116382,Lahore Houses,1 Kanal MAZHIR MUNIR DESIGN Brand New Beautiful Design Bungalow For Sale Prime Location Of Dha,"DHA Phase 7 - Block S, DHA Phase 7, DHA Defence, Lahore, Punjab","5 Master Bed With Attached Baths6 Bathrooms In The Bungalow. 2 Beautiful T. V Lounge 1 Drawing & Dinning Full Furnished3 Fotile Company Kitchens2 Servant Quarters4 Big Cars ParkingGrohi Sanitary Fittings2 Store RoomsBeautiful Lawn & TerraceBar B. Q Area In BungalowAsh Wood Door AlmirahAmazing Wallpapers & Entrance LobbyImported Marbles & Tiles Flooring2 Imported Jacuzzi's And 5 Cabin Showers In Baths. All Baths Are Equipped With Imported Fittings. Grohe Fittings. Amazing Woodwork, All Teak Wood Ash Wood Used In Bungalow. Bath Tubs Jacuzzi Installed In Every Wash Room. House Is Located Near Park Mosque. Commercial Area Is Very Near To Premises. Total Covered Area Of House Is 4500 Sq Ft. Double Story House. FOR MORE INFORMATION PLEASE CONTACT US.",Built in year: 2024 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Floors: 2 | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Store Rooms: 1, Other Rooms","Type: House, Price: PKR6.4 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 23 minutes ago"
96,House 52017042,Lahore Houses,Modern Bungalow For Sale At Hot Location,"DHA Phase 6 - Block F, DHA Phase 6, DHA Defence, Lahore, Punjab","HARMAIN REAL ESTATE OFFERS'ONE KANAL Bungalow Details:> 5 Master Bed with attached Baths> 6 Bathrooms in the Bungalow. > 2 Beautiful T. V Lounge 1 Drawing & Dinning > 2 Fotile Company Kitchens> 2 Servant Quarters> 4 Big Cars Parking> Grohi Sanitary Fittings> 2 Store Rooms> Beautiful Lawn & Terrace> Bar B. Q Area in Bungalow> 2 Imported Jacuzzi's and 5 Cabin Showers in baths. Main Approach from Ring Road Near Main Boulevard, DHA Office Complex, All Banks Hub, Very Reasonable Demand. Meeting Possible 24/7.",Built in year: 2022 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Store Rooms, Other Rooms","Type: House, Price: PKR7.95 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 26 minutes ago"
97,House 52017065,Lahore Houses,100 % Original Slightly Used Bungalow For Sale Near Dolmen Mall,"DHA Phase 6 - Block A, DHA Phase 6, DHA Defence, Lahore, Punjab","HARMAIN REAL ESTATE OFFERS'ONE KANAL Bungalow Details:> 5 Master Bed with attached Baths> 6 Bathrooms in the Bungalow. > 2 Beautiful T. V Lounge 1 Drawing & Dinning > 2 Fotile Company Kitchens> 2 Servant Quarters> 4 Big Cars Parking> Grohi Sanitary Fittings> 2 Store Rooms> Beautiful Lawn & Terrace> Bar B. Q Area in Bungalow> 2 Imported Jacuzzi's and 5 Cabin Showers in baths. Main Approach from Ring Road Near Main Boulevard, DHA Office Complex, All Banks Hub, Very Reasonable Demand. Meeting Possible 24/7.",Built in year: 2022 | Parking Spaces: 4 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floors: 2 | Other Main Features,"Bedrooms: 5, Bathrooms: 6, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Store Rooms, Other Rooms","Type: House, Price: PKR8.25 Crore, Location: DHA Defence, Lahore, Punjab, Bath(s): 6, Area: 1 Kanal, Purpose: For Sale, Bedroom(s): 5, Added: 26 minutes ago"
